tenure,MonthlyCharges,OnlineSecurity,TotalCharges,InternetService,TechSupport,Contract,Churn Probability
8,54.65,Yes,482.25,DSL,No,Month-to-month,0.4371519592587067
30,74.75,Yes,2111.3,DSL,No,Month-to-month,0.3374159193926104
45,25.9,No internet service,1216.6,No,No internet service,One year,0.04791493969317562
1,79.35,No,79.35,Fiber optic,No,Month-to-month,0.8545590281869843
11,50.55,Yes,565.35,DSL,No,Month-to-month,0.43108690697346597
7,75.15,No,496.9,Fiber optic,No,Month-to-month,0.8259811350196381
42,103.8,No,4327.5,Fiber optic,Yes,Month-to-month,0.5401730950907775
49,20.15,No internet service,973.35,No,No internet service,Two year,0.015551863012728952
9,99.3,No,918.75,Fiber optic,No,Month-to-month,0.8259687151485102
35,62.15,Yes,2215.45,DSL,No,One year,0.17005528500532377
48,20.65,No internet service,1057.0,No,No internet service,Two year,0.015651061340072082
46,19.95,No internet service,927.1,No,No internet service,Two year,0.015757301012222308
29,33.75,No,1009.25,DSL,No,Month-to-month,0.48842531659984406
30,82.05,No,2570.2,Fiber optic,No,Month-to-month,0.7047878201953213
1,74.7,No,74.7,Fiber optic,Yes,Month-to-month,0.6624533809747183
66,84.0,Yes,5714.25,DSL,Yes,Two year,0.03898213771230523
65,111.05,Yes,7107.0,Fiber optic,No,Month-to-month,0.407412615731432
72,100.9,No,7459.05,Fiber optic,No,Two year,0.3032713714942994
12,78.95,Yes,927.35,Fiber optic,No,Month-to-month,0.5966746911941431
71,66.85,Yes,4748.7,DSL,Yes,One year,0.11442255910325279
5,21.05,No internet service,113.85,No,No internet service,Month-to-month,0.2511097674330237
52,21.0,No internet service,1107.2,No,No internet service,Two year,0.016596226318104135
25,98.5,No,2514.5,Fiber optic,No,Month-to-month,0.7166545146845116
1,20.2,No internet service,20.2,No,No internet service,Month-to-month,0.5756516492442447
1,19.45,No internet service,19.45,No,No internet service,Month-to-month,0.5533362304367031
38,95.0,No,3605.6,Fiber optic,Yes,One year,0.32667259609344623
66,45.55,No,3027.25,DSL,No,One year,0.23265109377819415
68,110.0,No,7611.85,Fiber optic,Yes,Two year,0.2610220995675442
5,24.3,No,100.2,DSL,No,Month-to-month,0.6990648500717258
72,104.15,Yes,7303.05,Fiber optic,No,One year,0.28302802599839694
32,30.15,Yes,927.65,DSL,No,One year,0.17886683627914343
43,94.35,No,3921.3,Fiber optic,No,One year,0.38661993776643605
72,19.4,No internet service,1363.25,No,No internet service,Two year,0.014332074213924522
55,96.75,Yes,5238.9,Fiber optic,No,Month-to-month,0.43325011427047094
52,57.95,Yes,3042.25,DSL,Yes,One year,0.1310630443524703
43,91.65,No,3954.1,Fiber optic,No,Month-to-month,0.6833814544948212
37,76.5,No,2868.15,Fiber optic,No,Month-to-month,0.6982197814776732
64,54.6,No,3423.5,DSL,Yes,Two year,0.085497292750945
3,89.85,Yes,248.4,Fiber optic,No,Month-to-month,0.6036086412743047
36,31.05,Yes,1126.35,DSL,No,Two year,0.12510367480347587
10,100.25,Yes,1064.65,Fiber optic,No,Month-to-month,0.648890978084887
41,20.65,No internet service,835.15,No,No internet service,Two year,0.015977168685651143
27,85.2,No,2151.6,Fiber optic,Yes,Month-to-month,0.5384182427158547
56,99.8,No,5515.45,Fiber optic,No,One year,0.41061295147943594
6,20.7,No internet service,112.75,No,No internet service,Month-to-month,0.2264747519172084
3,74.4,No,229.55,Fiber optic,No,Month-to-month,0.8354732420971522
7,50.7,Yes,350.35,DSL,No,Month-to-month,0.4469530704016454
4,20.85,No internet service,62.9,No,No internet service,Month-to-month,0.24806207655970017
33,88.95,Yes,3027.65,Fiber optic,Yes,Two year,0.15320503457180096
27,78.05,No,2135.5,Fiber optic,No,Month-to-month,0.701409908309548
72,23.55,No internet service,1723.95,No,No internet service,Two year,0.011822361754346408
1,19.75,No internet service,19.75,No,No internet service,Month-to-month,0.5424060012032551
71,56.45,Yes,3985.35,DSL,No,One year,0.1487853142480821
13,85.95,No,1215.65,Fiber optic,No,Month-to-month,0.8088340922521445
25,58.6,Yes,1502.65,DSL,No,Month-to-month,0.3432392588561434
67,50.55,No,3260.1,DSL,Yes,Two year,0.08738802426321178
1,35.45,No,35.45,DSL,No,Month-to-month,0.7333292676551519
2,44.35,No,81.25,DSL,No,Month-to-month,0.7300563783242788
43,25.7,No internet service,1188.2,No,No internet service,Two year,0.020399109641420096
23,75.0,Yes,1778.5,Fiber optic,No,Month-to-month,0.5189086337501804
64,20.2,No internet service,1277.75,No,No internet service,Two year,0.014061504410374
57,19.6,No internet service,1170.55,No,No internet service,Two year,0.01787698548056133
1,70.45,No,70.45,Fiber optic,No,Month-to-month,0.8486682954533022
72,88.05,Yes,6425.65,DSL,Yes,Two year,0.031352119162191626
8,71.15,Yes,563.65,DSL,Yes,Month-to-month,0.3583341723790832
61,101.05,No,5971.25,Fiber optic,No,Two year,0.3340197320459545
64,84.3,Yes,5289.05,Fiber optic,No,One year,0.27836235076088484
71,23.95,No internet service,1756.2,No,No internet service,Two year,0.011757476165756873
65,99.05,Yes,6416.7,Fiber optic,Yes,Two year,0.14362007089338433
3,19.6,No internet service,61.35,No,No internet service,One year,0.11183561273328303
1,45.65,No,45.65,DSL,No,Month-to-month,0.7333292676551519
30,64.5,No,1929.95,DSL,No,One year,0.24174180229147046
15,69.5,No,1071.4,DSL,Yes,Month-to-month,0.4333693404867222
8,68.55,No,564.35,DSL,Yes,Month-to-month,0.4460047664398463
7,95.0,No,655.5,Fiber optic,No,Month-to-month,0.8284852490589905
70,108.15,Yes,7930.55,Fiber optic,No,One year,0.3276320946565102
62,86.1,Yes,5215.25,DSL,Yes,Two year,0.03962305544041495
6,19.7,No internet service,113.5,No,No internet service,Month-to-month,0.2642147293412144
14,80.9,No,1152.8,Fiber optic,No,Month-to-month,0.8114918828568196
22,84.15,No,1821.95,Fiber optic,No,Month-to-month,0.7173443178523029
22,20.15,No internet service,419.9,No,No internet service,One year,0.04305408708685971
16,64.25,Yes,1024.0,DSL,No,Two year,0.1653742441542753
10,25.7,No internet service,251.6,No,No internet service,Two year,0.04175179097487621
13,56.0,Yes,764.55,DSL,No,Month-to-month,0.42476583750604374
20,82.4,Yes,1592.35,Fiber optic,No,Month-to-month,0.543420458497229
2,69.7,No,135.2,Fiber optic,No,Month-to-month,0.8213393429774272
53,73.9,No,3958.25,DSL,Yes,Two year,0.08903523885437623
11,20.6,No internet service,233.9,No,No internet service,One year,0.07908345635401116
69,19.9,No internet service,1363.45,No,No internet service,Two year,0.013612814999874467
4,70.9,No,273.0,Fiber optic,No,Month-to-month,0.835058294536586
72,89.05,Yes,6254.45,DSL,Yes,Two year,0.030971981362239144
58,45.3,No,2651.2,DSL,No,Month-to-month,0.46235869382256284
16,20.4,No internet service,321.4,No,No internet service,Month-to-month,0.19567505280166989
43,84.25,Yes,3539.25,Fiber optic,Yes,One year,0.24230042168507457
2,104.4,No,242.8,Fiber optic,Yes,Month-to-month,0.7059124501517627
14,81.95,No,1181.75,DSL,Yes,Two year,0.16765176578364524
53,94.85,No,5000.2,Fiber optic,No,One year,0.3878861744623767
32,20.55,No internet service,654.55,No,No internet service,One year,0.04136448401702399
34,24.7,No internet service,780.2,No,No internet service,Month-to-month,0.1330052841450399
15,74.45,No,1145.7,Fiber optic,No,Month-to-month,0.8094389761468374
7,76.45,Yes,503.6,Fiber optic,No,Month-to-month,0.6023741339090445
15,105.35,No,1559.25,Fiber optic,No,Month-to-month,0.782937824377912
61,20.55,No internet service,1252.0,No,No internet service,One year,0.04138663249231346
1,29.95,No,29.95,DSL,No,Month-to-month,0.7333292676551519
1,45.3,No,45.3,DSL,No,Month-to-month,0.7333292676551519
8,84.5,No,662.65,Fiber optic,No,Month-to-month,0.8265346470752352
33,74.75,Yes,2453.3,DSL,No,One year,0.17554906680316826
13,79.25,No,1111.65,Fiber optic,No,Month-to-month,0.8159976923564809
1,24.8,No,24.8,DSL,No,Month-to-month,0.7333556345366635
20,51.8,No,1023.85,DSL,No,Month-to-month,0.5007406209975206
3,30.4,No,82.15,DSL,Yes,Month-to-month,0.55953198442977
13,19.65,No internet service,244.8,No,No internet service,One year,0.06315743994405341
40,56.6,No,2379.1,DSL,No,Month-to-month,0.4667513449807971
43,71.9,Yes,3173.35,DSL,Yes,One year,0.14576316634303402
6,91.0,No,531.0,Fiber optic,No,Month-to-month,0.8306059673241125
69,19.75,No internet service,1375.4,No,No internet service,Two year,0.016191514044345868
72,109.7,Yes,8129.3,Fiber optic,No,Two year,0.1536390643412697
59,19.3,No internet service,1192.7,No,No internet service,Two year,0.02333100786079368
20,96.55,Yes,1901.65,Fiber optic,Yes,Month-to-month,0.4191921851771144
24,24.1,No internet service,587.4,No,No internet service,Two year,0.01744935611434148
59,111.35,No,6519.75,Fiber optic,Yes,Month-to-month,0.48435082901010496
72,112.25,No,8041.65,Fiber optic,Yes,Two year,0.16228368357610695
1,20.75,No internet service,20.75,No,No internet service,Month-to-month,0.47694125926484865
27,101.9,Yes,2681.15,Fiber optic,Yes,One year,0.29316486578395184
14,80.05,No,1112.3,Fiber optic,Yes,Month-to-month,0.6516968505608639
71,105.55,Yes,7405.5,Fiber optic,No,Two year,0.1699183459429788
13,78.3,No,1033.95,Fiber optic,No,Month-to-month,0.8159976923564809
44,68.85,No,2958.95,Fiber optic,No,Month-to-month,0.652651369087313
33,79.95,No,2684.85,Fiber optic,Yes,One year,0.30453281468800547
72,55.45,Yes,4179.2,DSL,Yes,Two year,0.03489184119769414
1,79.9,No,79.9,Fiber optic,No,Month-to-month,0.8545590281869843
19,106.6,Yes,1934.45,Fiber optic,Yes,Month-to-month,0.4477566341055076
64,102.45,No,6654.1,Fiber optic,Yes,One year,0.3503122057034242
2,46.0,No,84.5,DSL,No,Month-to-month,0.7300563783242788
1,25.25,No,25.25,DSL,No,Month-to-month,0.7333556345366635
61,19.75,No internet service,1124.2,No,No internet service,Two year,0.017118076776252114
29,20.0,No internet service,540.05,No,No internet service,One year,0.041132727424561234
23,86.8,No,1975.85,Fiber optic,No,Month-to-month,0.714106485001694
57,58.75,Yes,3437.45,DSL,No,Month-to-month,0.3105447116515451
72,45.25,Yes,3139.8,DSL,Yes,Two year,0.04132972352519744
66,56.6,Yes,3789.2,DSL,Yes,Two year,0.040253480409193215
65,84.2,No,5324.5,DSL,Yes,Two year,0.09000130047081512
8,80.0,No,624.6,Fiber optic,No,Month-to-month,0.8266523509359028
4,70.15,No,268.35,Fiber optic,No,Month-to-month,0.8213743348964977
71,24.75,No internet service,1836.9,No,No internet service,Two year,0.01502166221810657
1,20.2,No internet service,20.2,No,No internet service,One year,0.264303355844052
4,50.05,No,179.35,DSL,Yes,Month-to-month,0.5441414426938802
12,19.35,No internet service,219.35,No,No internet service,One year,0.07661234665567929
24,50.6,Yes,1288.75,DSL,No,One year,0.1848269874212322
31,81.15,Yes,2545.75,DSL,Yes,One year,0.14520738872623973
1,55.2,No,55.2,DSL,No,Month-to-month,0.7276419700248562
30,89.9,No,2723.15,Fiber optic,Yes,Month-to-month,0.5335932075601367
47,85.3,Yes,4107.25,DSL,Yes,Two year,0.05193776433477621
54,108.0,Yes,5760.65,Fiber optic,Yes,Two year,0.1775811919344256
50,93.5,Yes,4747.5,Fiber optic,Yes,Month-to-month,0.33311448005837907
1,84.6,Yes,84.6,Fiber optic,No,Month-to-month,0.6560777374261298
72,20.25,No internet service,1566.9,No,No internet service,Two year,0.012866502991348306
29,25.15,No internet service,702.0,No,No internet service,Month-to-month,0.13709101290847778
2,54.4,No,114.1,DSL,No,Month-to-month,0.7157197147536268
10,29.6,No,299.05,DSL,Yes,Two year,0.17646817555989194
18,73.15,No,1305.95,Fiber optic,No,Month-to-month,0.7180452188221186
11,95.0,No,1120.3,Fiber optic,No,Month-to-month,0.819013203784246
16,19.75,No internet service,284.35,No,No internet service,Two year,0.03559654462984861
72,86.6,No,6350.5,DSL,Yes,Two year,0.0869884388924297
72,109.2,No,7878.3,Fiber optic,Yes,Two year,0.16629042207173445
41,74.7,Yes,3187.65,DSL,Yes,One year,0.1433511425113103
65,94.4,Yes,6126.15,Fiber optic,No,Month-to-month,0.4141838368952587
13,54.8,No,731.3,DSL,No,Month-to-month,0.5728431435196569
4,75.35,Yes,273.4,Fiber optic,No,Month-to-month,0.5967347985233002
41,65.0,No,2531.8,DSL,No,One year,0.2447423777108375
15,74.4,No,1074.3,Fiber optic,No,Month-to-month,0.8094389761468374
1,48.55,Yes,48.55,DSL,No,Month-to-month,0.5799140651599785
42,99.0,Yes,4298.45,Fiber optic,No,One year,0.30856851128852403
51,93.5,Yes,4619.55,Fiber optic,No,One year,0.2981096213957832
2,70.4,No,147.15,Fiber optic,No,Month-to-month,0.8287778394349301
1,40.2,No,40.2,DSL,No,Month-to-month,0.7333292676551519
32,83.7,No,2633.3,DSL,Yes,One year,0.21156236504617365
10,19.85,No internet service,193.05,No,No internet service,Month-to-month,0.25174674594172886
67,59.55,No,4103.9,DSL,Yes,Two year,0.08141374656547642
61,115.1,Yes,7008.15,Fiber optic,Yes,Two year,0.16228410111680056
50,114.35,Yes,5791.1,Fiber optic,Yes,One year,0.2986381130374658
2,44.6,No,80.55,DSL,No,Month-to-month,0.7310785392015122
29,45.0,Yes,1228.65,DSL,No,Month-to-month,0.34790599596745014
3,41.15,No,132.2,DSL,No,Month-to-month,0.7208688093525943
13,106.9,No,1364.3,Fiber optic,No,Month-to-month,0.7994304507383564
57,89.85,No,4925.35,Fiber optic,No,Month-to-month,0.6382177928887475
31,49.85,Yes,1520.1,DSL,Yes,Two year,0.06443512119360115
45,113.3,Yes,5032.25,Fiber optic,Yes,One year,0.2904286766495634
61,88.1,Yes,5526.75,DSL,Yes,Two year,0.04006761854740632
50,24.9,No internet service,1195.25,No,No internet service,Two year,0.018712658556842062
19,105.0,Yes,2007.25,Fiber optic,Yes,Month-to-month,0.4440709582418983
59,19.35,No internet service,1099.6,No,No internet service,Two year,0.03349259213845949
71,24.25,No internet service,1732.95,No,No internet service,Two year,0.011826094284113211
16,94.45,No,1511.2,Fiber optic,Yes,Month-to-month,0.6456638670601501
57,59.75,Yes,3450.15,DSL,Yes,Two year,0.04339626665612508
1,24.8,No,24.8,DSL,No,Month-to-month,0.7333556345366635
20,107.05,No,2172.05,Fiber optic,Yes,Month-to-month,0.5562249955359049
1,70.6,No,70.6,Fiber optic,No,Month-to-month,0.8494928803748798
5,85.4,No,401.1,Fiber optic,Yes,Month-to-month,0.6934577585251366
52,105.05,No,5624.85,Fiber optic,No,Month-to-month,0.6571893287954638
21,64.95,Yes,1339.8,DSL,No,Month-to-month,0.3622478263602375
14,55.0,No,771.95,DSL,Yes,Month-to-month,0.4389771037672679
5,50.55,No,244.75,DSL,No,Month-to-month,0.6784167315484222
6,55.15,Yes,322.9,DSL,No,Month-to-month,0.4567978207094479
10,51.2,No,498.25,DSL,No,Month-to-month,0.5882648934467333
1,25.4,No internet service,25.4,No,No internet service,Month-to-month,0.42264532507599606
68,54.45,Yes,3687.75,DSL,No,Month-to-month,0.3050559354625469
18,95.15,No,1779.95,Fiber optic,No,Month-to-month,0.7224657679663089
22,76.0,No,1783.6,Fiber optic,No,One year,0.4057230409259358
20,44.35,No,927.15,DSL,No,Month-to-month,0.5013096593795985
1,70.0,No,70.0,Fiber optic,No,Month-to-month,0.8459391947476204
8,74.5,No,606.55,Fiber optic,No,Month-to-month,0.8258113633056275
10,44.85,No,435.4,DSL,No,Month-to-month,0.5963970295195287
24,76.1,No,1712.7,Fiber optic,No,Month-to-month,0.7084615538347362
35,61.2,Yes,2021.2,DSL,No,One year,0.17226260155034823
23,86.8,No,1940.8,Fiber optic,Yes,One year,0.3256560661757686
6,89.35,No,567.8,Fiber optic,No,Month-to-month,0.8287918866375162
12,19.7,No internet service,220.35,No,No internet service,Month-to-month,0.24196483556256054
1,20.25,No internet service,20.25,No,No internet service,Month-to-month,0.5371416462297919
71,76.05,No,5436.45,Fiber optic,No,Two year,0.2860711399280366
35,100.8,No,3437.5,Fiber optic,No,Month-to-month,0.6914165176521958
40,74.55,No,3015.75,DSL,No,Month-to-month,0.4756651956563372
1,73.6,Yes,73.6,Fiber optic,No,Month-to-month,0.653962336675244
23,64.9,No,1509.8,DSL,No,One year,0.2523615776816039
4,95.45,No,396.1,Fiber optic,No,Month-to-month,0.8348088349594254
4,90.4,No,356.65,Fiber optic,Yes,Month-to-month,0.6988896874719654
68,60.3,No,4109.0,DSL,Yes,Two year,0.08156085725828399
38,81.85,No,3141.7,Fiber optic,No,Month-to-month,0.689012457026949
52,24.8,No internet service,1229.1,No,No internet service,Two year,0.01854761539536269
32,74.9,No,2303.35,Fiber optic,No,Month-to-month,0.6923654752707569
29,75.55,No,2054.4,DSL,Yes,Two year,0.11223538875789345
38,101.15,No,3741.85,Fiber optic,No,Month-to-month,0.6888074768086504
48,78.75,Yes,3682.45,DSL,No,One year,0.16528531663469448
1,19.25,No internet service,19.25,No,No internet service,Month-to-month,0.5381628207547815
22,89.05,Yes,1886.25,Fiber optic,Yes,Month-to-month,0.3942262334358634
43,115.05,Yes,4895.1,Fiber optic,Yes,Two year,0.17672242921861767
5,69.35,No,341.6,Fiber optic,No,Month-to-month,0.811633252860761
5,80.6,No,415.55,Fiber optic,No,Month-to-month,0.8320623523340109
51,110.05,Yes,5686.4,Fiber optic,Yes,One year,0.29898300592988286
71,19.9,No internet service,1355.1,No,No internet service,Two year,0.013393067055860698
38,80.3,Yes,3058.65,DSL,Yes,One year,0.14758023040181592
24,93.15,No,2231.05,Fiber optic,No,Month-to-month,0.7152400933117282
35,91.5,No,3236.35,Fiber optic,Yes,Month-to-month,0.531479297471618
54,82.45,Yes,4350.1,DSL,Yes,One year,0.14248084400552702
72,60.0,No,4264.0,DSL,Yes,Two year,0.07645924270720825
1,44.8,No,44.8,DSL,No,Month-to-month,0.7333292676551519
9,48.6,Yes,422.3,DSL,No,One year,0.21769638763123753
69,60.05,Yes,4176.7,DSL,Yes,Two year,0.038409681187834374
52,102.7,No,5138.1,Fiber optic,Yes,Month-to-month,0.5044866864401079
11,82.9,No,880.05,Fiber optic,Yes,Month-to-month,0.656349108866206
2,70.35,No,139.05,Fiber optic,No,Month-to-month,0.8259233731186522
28,35.9,No,973.65,DSL,No,Month-to-month,0.48842531659984406
17,82.65,No,1470.05,Fiber optic,No,Month-to-month,0.7676296748806483
35,19.85,No internet service,739.35,No,No internet service,Two year,0.016631682333961673
8,19.2,No internet service,161.95,No,No internet service,One year,0.08848955262147616
46,94.9,No,4422.95,Fiber optic,No,One year,0.38653235799617763
7,73.85,No,511.25,Fiber optic,No,Month-to-month,0.8256480362136324
2,80.6,No,155.8,Fiber optic,No,Month-to-month,0.8379719567929342
68,75.8,No,5293.95,DSL,Yes,One year,0.1702135619552972
43,104.6,No,4759.85,Fiber optic,No,Two year,0.3851584721119298
68,88.15,Yes,6148.45,DSL,Yes,Two year,0.03885065502069755
36,94.8,No,3565.65,Fiber optic,No,Month-to-month,0.6887313196746613
63,103.4,No,6603.0,Fiber optic,No,Month-to-month,0.6456619758653332
32,54.65,No,1830.1,DSL,Yes,Month-to-month,0.3309570372209047
71,85.75,Yes,6223.8,DSL,Yes,Two year,0.03282093050279982
66,67.45,Yes,4508.65,DSL,No,Month-to-month,0.2952777889006175
63,20.5,No internet service,1328.15,No,No internet service,One year,0.04153708157830294
41,20.25,No internet service,865.0,No,No internet service,One year,0.04349132599853508
1,72.1,No,72.1,Fiber optic,No,Month-to-month,0.8524425608817128
2,90.4,No,168.2,Fiber optic,No,Month-to-month,0.8385451249701088
70,19.45,No internet service,1303.5,No,No internet service,Two year,0.015145695816787087
23,44.95,No,996.85,DSL,No,Month-to-month,0.49247130565489766
64,97.0,Yes,6430.9,Fiber optic,No,One year,0.3148746823437779
37,62.8,Yes,2278.75,DSL,Yes,Two year,0.05806534147762684
17,44.6,No,681.4,DSL,No,One year,0.3018134023036991
7,89.15,No,574.35,Fiber optic,No,Month-to-month,0.8279728358727725
4,84.8,No,371.9,Fiber optic,No,Month-to-month,0.8339564427313595
21,41.9,Yes,840.1,DSL,No,Month-to-month,0.38515784761719635
10,80.25,No,846.0,Fiber optic,No,Month-to-month,0.8227710180214832
16,54.1,Yes,889.0,DSL,No,Month-to-month,0.42124097609301425
64,105.25,No,6823.4,Fiber optic,Yes,Two year,0.2277238632149701
27,30.75,Yes,805.1,DSL,No,Month-to-month,0.3544650040961741
42,97.1,Yes,4016.75,Fiber optic,No,One year,0.30746593822996077
5,20.2,No internet service,83.75,No,No internet service,Month-to-month,0.2601513413240346
41,98.8,No,3959.15,Fiber optic,Yes,Two year,0.24246819171255102
58,50.3,No,2878.55,DSL,No,One year,0.23456469599826543
47,20.55,No internet service,945.7,No,No internet service,Two year,0.015586921647985733
18,75.9,No,1373.05,Fiber optic,Yes,Month-to-month,0.5550895764327503
5,96.5,No,492.55,Fiber optic,No,Month-to-month,0.8328735172940105
23,59.95,Yes,1406.0,DSL,No,Month-to-month,0.3456651226765461
1,19.15,No internet service,19.15,No,No internet service,Month-to-month,0.49431208552450473
71,98.65,No,6962.85,Fiber optic,No,One year,0.3610690524090097
72,112.6,Yes,8126.65,Fiber optic,Yes,Two year,0.07900561448460937
33,20.6,No internet service,690.25,No,No internet service,One year,0.041897749252067615
2,85.65,No,181.5,Fiber optic,No,Month-to-month,0.8382106252563766
24,35.75,Yes,830.8,DSL,Yes,Two year,0.0668752484754818
56,99.75,No,5608.4,Fiber optic,Yes,One year,0.34359634926047117
37,96.1,No,3646.8,Fiber optic,No,Month-to-month,0.6893106736597684
43,85.1,No,3662.25,DSL,Yes,One year,0.20441695277987443
1,25.35,No,25.35,DSL,No,Month-to-month,0.7333556345366635
25,104.95,No,2566.5,Fiber optic,Yes,Month-to-month,0.5508794913097039
61,89.65,Yes,5308.7,DSL,Yes,Two year,0.04006761854740632
17,86.75,No,1410.25,Fiber optic,Yes,One year,0.37143896062651105
41,86.2,No,3339.05,Fiber optic,Yes,One year,0.3182863388501108
1,50.65,No,50.65,DSL,No,Month-to-month,0.7300074100975668
72,64.8,Yes,4732.35,DSL,Yes,Two year,0.03357567802700312
